Image,Quote
1, As human beings our greatness lies not so much in being able to remake the world - that is the myth of the atomic age - as in being able to remake ourselves.
1, We prefer world law in the age of self-determination to world war in the age of mass extermination.
1, Better pass boldly into that other world in the full glory of some passion than fade and wither dismally with age.
1, The credit of advancing science has always been due to individuals and never to the age.
1, It is well for the world that in most of us by the age of thirty the character has set like plaster and will never soften again.
1, To teach how to live without certainty and yet without being paralysed by hesitation is perhaps the chief thing that philosophy in our age can do for those who study it.
1, For age is opportunity no less Than youth itself though in another dress And as the evening twilight fades away The sky is filled with stars invisible by day.
1, Admiration of the proletariat like that of dams power stations and aeroplanes is part of the ideology of the machine age.
1, But the age of chivalry is gone. That of sophisters economists and calculators has succeeded and the glory of Europe is extinguished forever.
1, In the information age you don't teach philosophy as they did after feudalism. You perform it. If Aristotle were alive today he'd have a talk show.
1, This is the patent age of new inventions for killing bodies and for saving souls. All propagated with the best intentions.
1, Intelligent life on a planet comes of age when it first works out the reason for its own existence.
1, In my youth I stressed freedom and in my old age I stress order. I have made the great discovery that liberty is a product of order.
1, Canada has a passive-aggressive culture with a lot of sarcasm and righteousness. That went with my weird messianic complex. The ego is a fascinating monster. I was taught from a young age that I had to serve so that turned into me thinking I had to save the planet.
1, The philosophies of one age have become the absurdities of the next and the foolishness of yesterday has become the wisdom of tomorrow.
1, My age and health will never allow me to realize the dream of art I've been pursuing all my life.
1, I was taught from a young age that I had to serve so that turned into me thinking I had to save the planet.
1, This is the first convention of the space age - where a candidate can promise the moon and mean it.
1, I lived the true American dream because I was able to pursue what I set as my goals at a very young age.
1, I first learned that there were black people living in some place called other than the United States in the western hemisphere when I was a very little boy and my father told me that when he was a boy about my age he wanted to be an Episcopal priest because he so admired his priest a black man from someplace called Haiti.
1, In this age of media and Internet access we are much more talkative than ever before.
1, Science cannot tell theology how to construct a doctrine of creation but you can't construct a doctrine of creation without taking account of the age of the universe and the evolutionary character of cosmic history.
1, We have become a society that can't self-correct that can't address its obvious problems that can't pull out of its nosedive. And so to our list of disasters let us add this fourth entry we have entered an age of folly that - for all our Facebooking and the twittling tweedle-dee-tweets of the twitterati - we can't wake up from.
1,I remember being in Hollywood at the age of 16 and marveling at the stars. The idea of being part of it never entered my mind. It was too far-fetched.
1, I don't know whether it's age or maturity but I certainly find myself committed more and more to the looser forms of Western democracy at any price.
1, In the digital age of 'overnight' success stories such as Facebook the hard slog is easily overlooked.
1, It has been claimed at times that our modern age of technology facilitates dictatorship.
1, If it's true that our species is alone in the universe then I'd have to say the universe aimed rather low and settled for very little.
1, Look at the sky. We are not alone. The whole universe is friendly to us and conspires only to give the best to those who dream and work.
1, Take up one idea. Make that one idea your life - think of it dream of it live on that idea. 
1, I'm dreaming the hardest.
1, Man alone has the power to transform his thoughts into physical reality man alone can dream and make his dreams come true.
1, Change alone is eternal perpetual immortal.
1, Even though I love solar and love wind like most people do I like the renewable sources they alone are not going to get America energy independent.
1, Better mad with the rest of the world than wise alone.
1, No nation can meet the world's challenges alone.
1,The radiation left over from the Big Bang is the same as that in your microwave oven but very much less powerful. It would heat your pizza only to minus 271.3*C - not much good for defrosting the pizza let alone cooking it.
1, The true and solid peace of nations consists not in equality of arms but in mutual trust alone.
1, The want of logic annoys. Too much logic bores. Life eludes logic and everything that logic alone constructs remains artificial and forced.
1, Sometimes I think we're alone in the universe and sometimes I think we're not. In either case the idea is quite staggering.
1, What troubles me is the Internet and the electronic technology revolution. Shyness is fueled in part by so many people spending huge amounts of time alone isolated on e-mail in chat rooms which reduces their face-to-face contact with other people.
1, The people and the people alone are the motive force in the making of world history.
1, If Galileo had said in verse that the world moved the inquisition might have let him alone.
1, The prospect of success in achieving our most cherished dream is not without its terrors. 
1, When we dream alone it is only a dream but when many dream together it is the beginning of a new reality.
1, A dream you dream alone is only a dream. A dream you dream together is a reality.
1, Only that thing is free which exists by the necessities of its own nature and is determined in its actions by itself alone.
1, However anyone to whom this happens should not leave his room upon awakening should speak to no-one but remain alone and sober until everything comes back to him and he recalls the dream.
1, Science is analytical descriptive informative. Man does not live by bread alone but by science he attempts to do so. Hence the deadliness of all that is purely scientific.
1, Is it not careless to become too local when there are four hundred billion stars in our galaxy alone.
1, You can either invade a country or leave them alone and trade with them. When goods cross borders armies don't.
1, Should we find a second form of life right here on our doorstep we could be confident that life is a truly cosmic phenomenon. If so there may well be sentient beings somewhere in the galaxy wondering as do we if they are not alone in the universe.
1, But Socialism alone can bring self-determination of their peoples.
1, Why has not anyone seen that fossils alone gave birth to a theory about the formation of the earth that without them no one would have ever dreamed that there were successive epochs in the formation of the globe.
1,Myspace alone has just over 80 million users and ranks as the sixth most popular English language website and the eighth most popular site in the world.
1, Time and space - time to be alone space to move about - these may well become the great scarcities of tomorrow.
1, Research and development needs permanent tax credits to build the technology that spurs our growth. But no government programs alone can get America's students to study more science and math parents must push and help their children to meet this goal.
1, When I'm online I'm alone in a room tapping on a keyboard staring at a cathode-ray tube.
1, For each one of us stands alone in the midst of a universe.
1,It's an amazing luxury to say I'm 31 years old and I'm gonna take a year off. That's pretty amazing.
1, I mean we've built a lot of products that we think are good and will help people share photos and share videos and write messages to each other. 
1, Half a century ago the amazing courage of Rosa Parks the visionary leadership of Martin Luther King and the inspirational actions of the civil rights movement led politicians to write equality into the law and make real the promise of America for all her citizens.
1, Amazing that the human race has taken enough time out from thinking about food or sex to create the arts and sciences.
1, I've been pleased to work with so many wonderful stars through the years. This has been an amazing journey. I hope it continues.
1, Motherhood is a dream. It really is absolutely amazing.
1, Twitter is the most amazing medium for a comedy writer. 
1, The video game culture was an important thing to keep alive in the film because we're in a new era right now. The idea that kids can play video games like Grand Theft Auto or any video game is amazing. The video games are one step before a whole other virtual universe.
1, If I can inspire people by showing that following a dream by working hard and being determined is possible it's amazing.
1, I'm a big fan of Mashable and TechCrunch and other outlets like that but TechMeme obviously does an amazing job of aggregating.
1, The last real movie stars were probably Redford and Newman. And things were different then. There wasn't this amazing amount of magazines and information about them.
1, When I'm doing a film I love getting together after work with my costars. But we get back to L.A. and I'm like 'I don't want to go to a club with you dude. I mean I think you're rad and if you want to come play Scrabble with me that's amazing.'
1, You get moments all the time that kind of make you pinch yourself some of them make you quite emotional. 
1, The amount of control you have over somebody if you can monitor internet activity is amazing.
1, It's amazing how quickly people on the internet can pick something up but it's also amazing how quickly they can drop it.
1, I guess winning an Oscar is the ultimate dream. 
1, Science is one of a handful of things that defines us as a very special species. It is amazing how far we have been able to get and how accurate our predictions are. I think understanding how the universe was born is very important. It really gives us a perspective on many things.
1,Each of us have things and thoughts and descriptions of an amazing universe in our possession that kings in the 17th Century would have gone to war to possess.
1, Your car should drive itself. It's amazing to me that we let humans drive cars... It's a bug that cars were invented before computers.
1, People are doing amazing things right now on the Web.
1, If you pay attention to the world it's an amazing place. If you don't it's whatever you think it is.
1, I don't think immortality is necessarily the key to understanding the world. You have to be careful with what you think you're achieving. I'm all for science discovering amazing and fantastic things about our world but I think the motivations behind it are slightly askew.
1, Brains don't really smell but what's amazing about the brain is that it's almost like scrambled eggs or soft tofu almost like a gel. The brain controls so much of what we do but you could put your finger right through it.
1, It's awesome to see something like 'Inception' which is just mind-blowing and amazing and it actually resonates with the audiences. I feel like that's rare.
1, I'm definitely the most tech-savvy in my family. My wife wouldn't have a clue as far as getting the computer working. All of my kids it's amazing. Like everybody's kids they're more savvy than I am probably.
1, Art is science made clear
1, The most beautiful thing we can experience is the mysterious. It is the source of all true art and science
1, Science fiction is any idea that occurs in the head and doesn't exist yet
1, Every science begins as philosophy and ends as art
1, Medicine is a science of uncertainty and an art of probability
1, The worst state of affairs is when science begins to concern itself with art
1, Science is spectral analysis. Art is light synthesis
1, No one's going to be able to operate without a grounding in the basic sciences
1, We especially need imagination in science. It is not all mathematics nor all logic but it is somewhat beauty and poetry
1, Science shows us truth and beauty and fills each day with a fresh wonder of the exquisite order which governs our world.
1, Science is simply common sense at its best
1, Science is the effective way of doing things
1, In science the important thing is to modify and change one's ideas as science advances
1, The enchanting charms of this sublime science reveal only to those who have the courage to go deeply into it
1, Science without conscience is the death of the soul
1, The proper study of mankind is the science of design
1, I grew up on a steady diet of science fiction
1, The most important thing we can do is inspire young minds and to advance the kind of science math and technology education that will help youngsters take us to the next phase of space travel
1, Much of the debate over global warming is predicated on fear rather than science
1, In science all facts no matter how trivial or banal enjoy democratic equality
1, Reason observation and experience the holy trinity of science
1, Our science fails to recognize those special properties of life that make it fundamental to material reality
1, If the experience of science teaches anything it's that the world is very strange and surprising
1, The best thing about science is that hard empirical answers are always there if you look hard enough
1, Science has sometimes been said to be opposed to faith and inconsistent with it. But all science in fact rests on a basis of faith
1, The human brain now holds the key to our future. We have to recall the image of the planet from outer space a single entity in which air water and continents are interconnected
1, Our imagination just needs space. It's all it needs
1, Space is an inspirational concept that allows you to dream big
1, The question that will decide our destiny is not whether we shall expand into space. It is shall we be one species or a million
1, Throw your dreams into space like a kite and you do not know what it will bring back
1, The space industry is developing and delivering benefits that tie into our immediate needs and priorities here on Earth
1, I wanted to be an astronaut and wanted to go to space camp but then I found out that I was too short to become an astronaut
1, In essence String Theory describes space and time matter and energy gravity and light
1, There are no passengers on spaceship earth. We are all crew
1, The Universe is one great kindergarten for man
1, Between stimulus and response there is a space. In that space is our power to choose our response
1, What's very important is that we build a space that matters in the world
1, If I pick up a book with spaceships on the cover I want spaceships
1, For NASA space is still a high priority.
1, The distance between insanity and genius is measured only by success
1, From now on we live in a world where man has walked on the Moon
1, Science has made us gods even before we are worthy of being men
1, The man of science is a poor philosopher
1, The mysteriousness and mystique of space is such that science fiction attempts to tantalize you by telling you a story that could possibly be out there
1, Space or science fiction has become a dialect for our time
1, Science is facts
1, Los Angeles is like a beauty parlor at the end of the universe
1, Look at the sky. We are not alone. The whole universe is friendly 
1, The universe is change our life is what our thoughts make it
1, Every day I try to be in communication with the universe in an unconscious way
1, We simply do not understand our place in the universe and have not the courage to admit it
2, The lovely thing about being forty is that you can appreciate twenty-five-year-old men more.
2, Whatever you may look like marry a man your own age - as your beauty fades so will his eyesight.
2, A man does not die of love or his liver or even of old age he dies of being a man.
2, There are few things that we so unwillingly give up even in advanced age as the supposition that we still have the power of ingratiating ourselves with the fair sex.
2, Love has no age no limit and no death.
2, And I'm afraid in this day and age trust which I count so you know I love loyalty. I love trust.
2, I think love can happen at any age... it has no age.
2, I've never been more in love with anyone nearly half my age than I am today. I'd get married in a minute if I weren't still married to somebody else.
2,You can have a spiritual awakening and discover a new side of you at any age. And best of all love can happen at any age. Life can just start to get exciting when you're in your 40s and 50s. You have to believe that.
2, I prefer younger men. In some ways they are much more open to a woman being stronger and independent then some of the men my age.
2, In an age when the fashion is to be in love with yourself confessing to be in love with somebody else is an admission of unfaithfulness to one's beloved.
2, I love things that age well - things that don't date that stand the test of time and that become living examples of the absolute best.
2, When I was seventeen I worked as a counsellor at a co-ed sleep-away camp for eight weeks. I loved it but it could be harrowing 
2, We live in an age in an era where there is so much negativity there is so much violence in the world there is so much unrest and people are at war that I wanted to promote the word love and red signifies love.
2, Love with very young people is a heartless business. We drink at that age from thirst or to get drunk it is only later in life that we occupy ourselves with the individuality of our wine.
2,If you love somebody you love them. My parents had a 25-year age gap between them and my mum was the breadwinner my dad the house husband. I'm a strong believer that a good relationship can work whatever the situation.
2, My grandparents got married at a very young age and a lot of what I think about marriage is based on their relationship. I watched them over the years and saw how they dealt with everything together as a team.
2, My grandparents got married at a very young age and a lot of what I think about marriage is based on their relationship.
2, While I had often said that I wanted to die in bed what I really meant was that in my old age I wanted to be stepped on by an elephant while making love.
2, I've always felt that sexuality is a really slippery thing. In this day and age it tends to get categorized and labeled and I think labels are for food. Canned food.
2, Well my son really loves wildlife. And everytime he draws a polar bear I want to tell him there probably won't any by the time... he's my age. That's kinda hard to deal with.
2, There are a lot of people in this age bracket that are out there dating and trying to find love. And I never thought that at my age I would be.
2, The desire to get married which - I regret to say I believe is basic and primal in women - is followed almost immediately by an equally basic and primal urge - which is to be single again.
2, I'm fascinated with myself and love hearing the sound of my own voice. 
2, I would be married but I'd have no wife I would be married to a single life.
2, Unless we love and are loved each of us is alone each of us is deeply lonely.
2, We're born alone we live alone we die alone. Only through our love and friendship can we create the illusion for the moment that we're not alone.
2, Love is our true destiny. We do not find the meaning of life by ourselves alone - we find it with another.
